theta phi intensity
0 128.0 11783.5
2 128.0 10589.2
4 128.0 10086.8
6 128.0 8355.7
8 128.0 7872.6
10 128.0 7302.5
12 128.0 8065.0
14 128.0 8030.2
16 128.0 8033.3
18 128.0 8459.3
20 128.0 8182.9
22 128.0 7637.1
24 128.0 7709.4
26 128.0 8107.4
28 128.0 7176.2
30 128.0 7048.2
32 128.0 7581.0
34 128.0 6699.4
36 128.0 6782.2
38 128.0 7074.7
40 128.0 6452.5
42 128.0 6648.8
44 128.0 7794.6
46 128.0 7100.7
48 128.0 6721.2
50 128.0 6036.1
52 128.0 6532.5
54 128.0 7013.9
56 128.0 5768.9
58 128.0 5753.1
60 128.0 5402.1
62 128.0 4888.1
64 128.0 4937.7
66 128.0 4640.5
68 128.0 4330.6
70 128.0 3746.4
0 124.0 10868.9
2 124.0 11037.5
4 124.0 10729.5
6 124.0 9219.8
8 124.0 7811.7
10 124.0 8138.3
12 124.0 8252.2
14 124.0 7896.4
16 124.0 8772.7
18 124.0 8620.1
20 124.0 7754.8
22 124.0 8168.1
24 124.0 8306.7
26 124.0 8591.0
28 124.0 7956.7
30 124.0 7334.6
32 124.0 8243.3
34 124.0 7215.5
36 124.0 7722.9
38 124.0 7504.8
40 124.0 7463.2
42 124.0 7048.3
44 124.0 7412.8
46 124.0 7128.8
48 124.0 6995.2
50 124.0 6502.7
52 124.0 6715.0
54 124.0 6870.2
56 124.0 5965.5
58 124.0 5607.2
60 124.0 5052.6
62 124.0 4864.4
64 124.0 4923.0
66 124.0 4969.5
68 124.0 4242.5
70 124.0 4178.7
0 120.0 10415.6
2 120.0 11414.2
4 120.0 9630.5
6 120.0 8725.8
8 120.0 9445.8
10 120.0 8758.1
12 120.0 8489.0
14 120.0 8224.6
16 120.0 8991.5
18 120.0 7678.9
20 120.0 8450.2
22 120.0 8186.5
24 120.0 9025.6
26 120.0 9225.2
28 120.0 7962.3
30 120.0 7550.0
32 120.0 7966.0
34 120.0 8158.6
36 120.0 7826.2
38 120.0 6884.8
40 120.0 7359.7
42 120.0 6868.9
44 120.0 7041.3
46 120.0 6998.6
48 120.0 6901.5
50 120.0 6407.4
52 120.0 5988.3
54 120.0 6382.7
56 120.0 6176.2
58 120.0 5574.2
60 120.0 5380.3
62 120.0 5321.3
64 120.0 5371.2
66 120.0 4703.3
68 120.0 4481.1
70 120.0 4046.4
0 116.0 11418.9
2 116.0 11274.4
4 116.0 9095.4
6 116.0 8270.6
8 116.0 8438.5
10 116.0 8775.7
12 116.0 8390.3
14 116.0 8775.0
16 116.0 8885.6
18 116.0 8195.4
20 116.0 7953.5
22 116.0 7543.6
24 116.0 8276.1
26 116.0 7659.1
28 116.0 7990.1
30 116.0 7493.1
32 116.0 7355.8
34 116.0 7967.0
36 116.0 7694.5
38 116.0 7346.9
40 116.0 6452.7
42 116.0 7219.6
44 116.0 7073.5
46 116.0 6898.1
48 116.0 6892.4
50 116.0 6444.2
52 116.0 5605.1
54 116.0 6097.1
56 116.0 6077.6
58 116.0 5184.6
60 116.0 5440.6
62 116.0 5407.8
64 116.0 5309.7
66 116.0 5067.9
68 116.0 4000.5
70 116.0 4400.8
0 112.0 10101.0
2 112.0 12552.5
4 112.0 10219.5
6 112.0 7515.1
8 112.0 9066.4
10 112.0 7575.0
