theta phi intensity
4 96.0 54789.7
6 96.0 47046.7
8 96.0 42854.7
10 96.0 41417.2
12 96.0 40171.8
14 96.0 40336.2
16 96.0 41411.2
18 96.0 47502.3
20 96.0 47510.9
22 96.0 46098.4
24 96.0 43123.3
26 96.0 41540.2
28 96.0 41104.2
30 96.0 42648.1
32 96.0 44401.6
34 96.0 44089.2
36 96.0 42882.0
38 96.0 39979.9
40 96.0 39067.9
42 96.0 37052.0
44 96.0 35734.9
46 96.0 32900.2
48 96.0 31306.3
50 96.0 30968.7
52 96.0 34574.7
54 96.0 36730.0
56 96.0 36233.1
58 96.0 33337.8
60 96.0 30634.8
62 96.0 26795.0
64 96.0 23309.9
66 96.0 20496.1
68 96.0 19755.1
70 96.0 18018.4
0 92.0 59116.9
2 92.0 57426.7
4 92.0 53554.6
6 92.0 47186.0
8 92.0 43687.5
10 92.0 41146.3
12 92.0 39959.6
14 92.0 39232.6
16 92.0 39949.0
18 92.0 45191.8
20 92.0 45408.7
22 92.0 44491.5
24 92.0 41221.0
26 92.0 38672.0
28 92.0 38222.1
30 92.0 39125.9
32 92.0 40824.3
34 92.0 41030.2
36 92.0 40138.4
38 92.0 37455.9
40 92.0 36231.5
42 92.0 34334.4
44 92.0 33680.0
46 92.0 30989.0
48 92.0 30734.8
50 92.0 30950.3
52 92.0 33986.8
54 92.0 35303.7
56 92.0 35281.6
58 92.0 31742.2
60 92.0 28734.0
62 92.0 25489.2
64 92.0 22095.5
66 92.0 19386.1
68 92.0 18429.0
70 92.0 16894.7
0 88.0 62687.2
2 88.0 63406.1
4 88.0 62037.2
6 88.0 48359.6
8 88.0 45142.8
10 88.0 40592.1
12 88.0 39503.2
14 88.0 39437.6
16 88.0 39681.0
18 88.0 42153.0
20 88.0 45117.3
22 88.0 44665.6
24 88.0 42719.1
26 88.0 39482.6
28 88.0 38009.0
30 88.0 37635.0
32 88.0 38525.9
34 88.0 39564.0
36 88.0 39534.2
38 88.0 37772.8
40 88.0 35764.8
42 88.0 33598.2
44 88.0 31784.3
46 88.0 30148.8
48 88.0 29871.0
50 88.0 30672.3
52 88.0 32086.8
54 88.0 32407.5
56 88.0 31717.5
58 88.0 30689.4
60 88.0 27441.2
62 88.0 25119.0
64 88.0 23196.8
66 88.0 20847.7
68 88.0 17761.2
70 88.0 16807.8
0 84.0 57043.5
2 84.0 52568.1
4 84.0 51408.9
6 84.0 45411.2
8 84.0 42199.5
10 84.0 38023.8
12 84.0 37207.9
14 84.0 36726.5
16 84.0 37114.5
18 84.0 39224.6
20 84.0 40741.4
22 84.0 41075.6
24 84.0 39238.0
26 84.0 36268.3
28 84.0 34916.2
30 84.0 35340.7
32 84.0 35872.1
34 84.0 36260.6
36 84.0 36553.5
38 84.0 35783.2
40 84.0 33554.2
42 84.0 30748.8
44 84.0 29071.7
46 84.0 28738.8
48 84.0 29779.2
50 84.0 31563.9
52 84.0 31378.2
54 84.0 30204.1
56 84.0 27768.7
58 84.0 25605.3
60 84.0 24578.1
62 84.0 24048.9
64 84.0 22538.5
66 84.0 21100.0
68 84.0 18447.5
70 84.0 15965.9
0 80.0 62694.9
2 80.0 64584.3
4 80.0 63468.7
6 80.0 50435.5
8 80.0 45380.4
10 80.0 40262.6
12 80.0 39054.1
14 80.0 39401.5
16 80.0 39473.8
18 80.0 40976.3
20 80.0 42750.9
22 80.0 42193.9
24 80.0 41146.3
26 80.0 39014.5
28 80.0 37810.7
30 80.0 38357.8
32 80.0 38544.2
34 80.0 37723.8
36 80.0 37395.1
38 80.0 38073.0
40 80.0 35874.3
42 80.0 32768.9
44 80.0 29782.2
46 80.0 30608.6
48 80.0 31858.0
50 80.0 35361.4
52 80.0 34999.4
54 80.0 32814.8
56 80.0 28998.6
58 80.0 25479.9
60 80.0 24557.0
62 80.0 24890.5
64 80.0 25145.3
66 80.0 24039.3
68 80.0 21800.1
70 80.0 19073.1
0 76.0 53451.7
2 76.0 54064.1
4 76.0 52986.5
6 76.0 48061.0
8 76.0 43718.7
10 76.0 38614.3
12 76.0 36635.5
14 76.0 37732.0
16 76.0 38441.3
18 76.0 40157.4
20 76.0 40350.2
22 76.0 39159.4
24 76.0 38659.9
26 76.0 37409.8
28 76.0 37873.0
30 76.0 38243.7
32 76.0 37399.5
34 76.0 36376.1
36 76.0 35680.6
38 76.0 36504.4
40 76.0 35863.6
42 76.0 32723.0
44 76.0 29548.8
46 76.0 30134.4
48 76.0 31395.1
50 76.0 33339.0
52 76.0 32484.4
54 76.0 30656.8
56 76.0 27562.8
58 76.0 24919.0
60 76.0 23550.2
62 76.0 23536.6
64 76.0 23518.3
66 76.0 23189.3
68 76.0 21889.3
70 76.0 19992.4
