theta phi intensity
0 128.0 12575.2
2 128.0 11326.6
4 128.0 10818.8
6 128.0 11407.5
8 128.0 11666.5
10 128.0 11954.4
12 128.0 12117.9
14 128.0 12379.8
16 128.0 12270.1
18 128.0 12185.2
20 128.0 12302.6
22 128.0 12148.8
24 128.0 12330.8
26 128.0 12800.6
28 128.0 12987.7
30 128.0 13191.3
32 128.0 13524.8
34 128.0 13809.5
36 128.0 14043.9
38 128.0 14740.5
40 128.0 15070.7
42 128.0 15323.0
44 128.0 15848.7
46 128.0 16150.6
48 128.0 16490.1
50 128.0 17310.1
52 128.0 17954.3
54 128.0 18665.0
56 128.0 19286.0
58 128.0 20309.5
60 128.0 20846.8
62 128.0 21579.3
64 128.0 22643.0
66 128.0 23482.1
68 128.0 24215.5
70 128.0 24966.5
0 124.0 11748.5
2 124.0 11542.9
4 124.0 11477.5
6 124.0 11929.0
8 124.0 12028.9
10 124.0 12036.8
12 124.0 12426.2
14 124.0 12600.2
16 124.0 12392.1
18 124.0 12669.9
20 124.0 12853.9
22 124.0 13101.3
24 124.0 13213.7
26 124.0 13414.2
28 124.0 13469.4
30 124.0 13875.1
32 124.0 14160.0
34 124.0 14502.6
36 124.0 14859.3
38 124.0 14933.7
40 124.0 15489.9
42 124.0 15932.8
44 124.0 16624.4
46 124.0 16799.5
48 124.0 17583.5
50 124.0 17848.0
52 124.0 18911.6
54 124.0 19252.8
56 124.0 19951.7
58 124.0 20574.1
60 124.0 21811.7
62 124.0 22564.4
64 124.0 23447.5
66 124.0 24347.9
68 124.0 25250.0
70 124.0 26118.0
0 120.0 11507.4
2 120.0 11653.5
4 120.0 11899.1
6 120.0 12169.6
8 120.0 12428.1
10 120.0 12563.7
12 120.0 12572.8
14 120.0 12705.8
16 120.0 12953.3
18 120.0 13172.1
20 120.0 13295.6
22 120.0 13364.1
24 120.0 13499.8
26 120.0 13835.5
28 120.0 14180.5
30 120.0 14170.6
32 120.0 14691.1
34 120.0 15131.2
36 120.0 15194.1
38 120.0 15328.4
40 120.0 15946.3
42 120.0 16517.8
44 120.0 17138.3
46 120.0 17859.4
48 120.0 18326.7
50 120.0 19109.0
52 120.0 19549.5
54 120.0 20389.4
56 120.0 21274.2
58 120.0 21974.4
60 120.0 22870.1
62 120.0 23757.9
64 120.0 24798.7
66 120.0 25409.1
68 120.0 26462.5
70 120.0 27416.0
0 116.0 11791.3
2 116.0 11488.9
4 116.0 11420.7
6 116.0 12019.6
8 116.0 12163.8
10 116.0 12449.1
12 116.0 12396.2
14 116.0 12445.2
16 116.0 12668.8
18 116.0 12344.7
20 116.0 12444.2
22 116.0 13032.0
24 116.0 13218.0
26 116.0 13445.2
28 116.0 13647.8
30 116.0 13764.7
32 116.0 13959.5
34 116.0 14582.1
36 116.0 14716.1
38 116.0 15132.9
40 116.0 15464.4
42 116.0 16079.6
44 116.0 16452.8
46 116.0 17291.2
48 116.0 17433.7
50 116.0 18343.7
52 116.0 19082.3
54 116.0 19890.5
56 116.0 20472.8
58 116.0 21297.6
60 116.0 22188.6
62 116.0 22918.8
64 116.0 23657.2
66 116.0 24582.6
68 116.0 25631.0
70 116.0 26390.3
0 112.0 11702.6
2 112.0 11556.2
4 112.0 11833.8
6 112.0 12241.6
8 112.0 12355.9
10 112.0 12463.0
12 112.0 12671.2
14 112.0 12469.0
16 112.0 12324.7
18 112.0 12417.7
20 112.0 12601.4
22 112.0 13093.3
24 112.0 13519.3
26 112.0 13420.1
28 112.0 13766.2
30 112.0 13879.6
32 112.0 13999.2
34 112.0 14840.6
36 112.0 14899.0
38 112.0 15290.7
40 112.0 15825.7
42 112.0 16645.4
44 112.0 16851.7
46 112.0 17327.9
48 112.0 17799.3
50 112.0 18285.2
52 112.0 18879.2
54 112.0 20008.8
56 112.0 20788.4
58 112.0 21706.3
60 112.0 22249.4
62 112.0 22994.6
64 112.0 23975.7
66 112.0 25472.9
68 112.0 25858.8
70 112.0 26816.4
0 108.0 11334.9
2 108.0 11233.3
4 108.0 11319.6
6 108.0 11943.6
8 108.0 12183.0
10 108.0 12011.9
12 108.0 12348.9
14 108.0 11915.4
16 108.0 12050.9
18 108.0 12109.4
20 108.0 12428.4
22 108.0 12482.8
24 108.0 12980.7
26 108.0 13072.5
28 108.0 13394.8
30 108.0 13753.3
32 108.0 13919.2
34 108.0 14242.6
36 108.0 14871.4
38 108.0 15359.0
40 108.0 15725.5
42 108.0 16439.9
44 108.0 17076.6
46 108.0 17148.7
48 108.0 17392.4
50 108.0 17937.7
52 108.0 18591.0
54 108.0 19617.6
56 108.0 20545.8
58 108.0 21283.4
60 108.0 22003.2
62 108.0 22332.7
64 108.0 23627.2
66 108.0 24537.6
68 108.0 25503.2
70 108.0 26111.6
0 104.0 10879.8
2 104.0 10785.3
4 104.0 11702.2
6 104.0 11303.8
8 104.0 11409.7
10 104.0 11924.1
12 104.0 11864.4
14 104.0 11853.9
16 104.0 11865.2
18 104.0 11790.1
20 104.0 11807.0
22 104.0 12247.4
24 104.0 12703.4
26 104.0 12779.5
28 104.0 12883.5
30 104.0 13149.0
32 104.0 13283.4
34 104.0 13562.6
36 104.0 14025.6
38 104.0 14656.9
40 104.0 15356.4
42 104.0 15774.4
44 104.0 16349.1
46 104.0 16699.1
48 104.0 17045.8
50 104.0 17483.7
52 104.0 17943.3
54 104.0 19080.1
56 104.0 19641.9
58 104.0 20183.5
60 104.0 21401.1
62 104.0 22026.9
64 104.0 22920.5
66 104.0 23713.4
68 104.0 24692.6
70 104.0 25493.7
0 100.0 10703.0
2 100.0 10684.6
4 100.0 11305.3
6 100.0 11132.7
8 100.0 11752.0
10 100.0 11514.0
12 100.0 11282.8
14 100.0 11366.6
16 100.0 11360.5
18 100.0 11465.3
20 100.0 11320.2
22 100.0 11983.1
24 100.0 12018.4
26 100.0 12469.0
28 100.0 12530.2
30 100.0 12752.0
32 100.0 13334.1
34 100.0 13377.2
36 100.0 13794.4
38 100.0 13920.7
40 100.0 14630.8
42 100.0 15260.8
44 100.0 15588.2
46 100.0 15807.8
48 100.0 16723.5
50 100.0 16813.0
52 100.0 17056.4
54 100.0 17943.4
56 100.0 18534.0
58 100.0 19405.9
60 100.0 20355.0
62 100.0 21115.5
64 100.0 22158.5
66 100.0 22865.9
68 100.0 23838.7
70 100.0 24292.8
0 96.0 11927.0
2 96.0 11798.2
4 96.0 11089.5
6 96.0 10897.8
8 96.0 11155.2
10 96.0 10952.8
12 96.0 10917.8
14 96.0 11078.5
16 96.0 11179.1
18 96.0 10862.3
20 96.0 10790.5
22 96.0 11432.4
24 96.0 11667.8
26 96.0 11952.8
28 96.0 11911.7
30 96.0 12308.9
32 96.0 12491.8
34 96.0 12730.2
36 96.0 13031.4
38 96.0 13629.1
40 96.0 13677.7
42 96.0 14125.0
44 96.0 14758.4
46 96.0 15394.6
48 96.0 15853.6
50 96.0 16183.9
52 96.0 16710.7
54 96.0 17420.8
56 96.0 17555.6
58 96.0 18723.0
60 96.0 19245.4
62 96.0 19984.7
64 96.0 21124.1
66 96.0 22184.2
68 96.0 22836.0
70 96.0 23465.4
0 92.0 10945.5
2 92.0 10557.4
4 92.0 10542.6
6 92.0 10784.1
8 92.0 11118.9
10 92.0 10979.0
12 92.0 10765.2
14 92.0 10947.1
16 92.0 10803.6
18 92.0 10655.7
20 92.0 10874.4
22 92.0 10738.2
24 92.0 11211.5
26 92.0 11422.6
28 92.0 11595.7
30 92.0 12064.8
32 92.0 11885.5
34 92.0 12120.8
36 92.0 12650.7
38 92.0 12679.2
40 92.0 13232.2
42 92.0 13782.3
44 92.0 14843.3
46 92.0 15259.3
48 92.0 15577.1
50 92.0 16224.6
52 92.0 16443.6
54 92.0 16856.8
56 92.0 17291.1
58 92.0 18371.3
60 92.0 18689.3
62 92.0 19821.0
64 92.0 20348.6
66 92.0 21384.0
68 92.0 21947.0
70 92.0 22660.3
0 88.0 11696.4
2 88.0 11930.3
4 88.0 11813.6
6 88.0 10757.1
8 88.0 10516.1
10 88.0 11035.2
12 88.0 11248.9
14 88.0 11166.8
16 88.0 11204.8
18 88.0 10943.9
20 88.0 11079.0
22 88.0 11531.7
24 88.0 11541.9
26 88.0 11765.3
28 88.0 12024.0
30 88.0 12587.9
32 88.0 12358.3
34 88.0 13012.7
36 88.0 12682.1
38 88.0 13526.1
40 88.0 13657.2
42 88.0 14398.5
44 88.0 14708.4
46 88.0 15323.7
48 88.0 15575.4
50 88.0 16016.2
52 88.0 16628.3
54 88.0 17003.3
56 88.0 17602.6
58 88.0 18213.0
60 88.0 19121.9
62 88.0 20036.4
64 88.0 20476.6
66 88.0 21775.0
68 88.0 22625.1
70 88.0 23190.7
0 84.0 10707.1
2 84.0 9691.4
4 84.0 9859.4
6 84.0 10087.2
8 84.0 10390.8
10 84.0 10306.0
12 84.0 10452.8
14 84.0 10863.0
16 84.0 10899.7
18 84.0 10753.9
20 84.0 10788.2
22 84.0 10766.2
24 84.0 11075.7
26 84.0 11267.3
28 84.0 11767.5
30 84.0 12130.5
32 84.0 11920.0
34 84.0 12293.1
36 84.0 12403.6
38 84.0 12651.9
40 84.0 13266.6
42 84.0 13761.1
44 84.0 14455.7
46 84.0 14509.1
48 84.0 15054.5
50 84.0 15314.8
52 84.0 15876.8
54 84.0 16338.1
56 84.0 17130.3
58 84.0 17998.7
60 84.0 18549.9
62 84.0 19203.9
64 84.0 20025.2
66 84.0 20672.3
68 84.0 21703.4
70 84.0 22504.7
0 80.0 12019.0
2 80.0 11860.6
4 80.0 11990.1
6 80.0 10812.4
8 80.0 11209.5
10 80.0 11029.7
12 80.0 11528.7
14 80.0 11188.8
16 80.0 11587.1
18 80.0 11274.1
20 80.0 11369.9
22 80.0 11816.8
24 80.0 11809.8
26 80.0 12028.6
28 80.0 12451.0
30 80.0 12518.1
32 80.0 12862.2
34 80.0 13006.1
36 80.0 13466.1
38 80.0 13691.7
40 80.0 14187.8
42 80.0 14704.0
44 80.0 15141.7
46 80.0 15682.7
48 80.0 16037.0
50 80.0 15912.3
52 80.0 16757.7
54 80.0 17277.7
56 80.0 18103.7
58 80.0 20103.0
60 80.0 20122.3
62 80.0 20445.8
64 80.0 21258.3
66 80.0 22139.4
68 80.0 23021.0
70 80.0 23894.6
0 76.0 10594.3
2 76.0 10056.6
4 76.0 9963.3
6 76.0 10405.9
8 76.0 10659.2
10 76.0 10822.2
12 76.0 11008.0
14 76.0 11081.6
16 76.0 11038.5
18 76.0 11184.7
20 76.0 10976.6
22 76.0 11381.4
24 76.0 11536.4
26 76.0 12071.3
28 76.0 11780.1
30 76.0 12194.4
32 76.0 12284.0
34 76.0 12857.0
36 76.0 12800.3
38 76.0 13291.6
40 76.0 13754.0
42 76.0 14312.4
44 76.0 14850.7
46 76.0 15074.2
48 76.0 15044.5
50 76.0 15733.3
52 76.0 16443.4
54 76.0 16889.6
56 76.0 17787.8
58 76.0 18717.4
60 76.0 19478.9
62 76.0 19890.3
64 76.0 20365.6
66 76.0 21357.2
68 76.0 22262.2
70 76.0 23080.1
