theta phi intensity
0 128.0 2886.6
2 128.0 2623.8
4 128.0 2106.1
6 128.0 1901.5
8 128.0 1969.8
10 128.0 1863.6
12 128.0 2213.2
14 128.0 2270.5
16 128.0 2461.9
18 128.0 2416.5
20 128.0 2254.5
22 128.0 2217.8
24 128.0 2171.4
26 128.0 2073.9
28 128.0 2156.7
30 128.0 2166.2
32 128.0 1889.5
34 128.0 2026.1
36 128.0 2487.7
38 128.0 1872.2
40 128.0 2518.8
42 128.0 2519.5
44 128.0 2068.4
46 128.0 2189.7
48 128.0 2262.1
50 128.0 2035.2
52 128.0 2153.1
54 128.0 1766.0
56 128.0 1944.7
58 128.0 2043.6
60 128.0 1846.3
62 128.0 2148.1
64 128.0 2087.6
66 128.0 1711.2
68 128.0 1723.0
70 128.0 1715.6
0 124.0 2913.8
2 124.0 2509.3
4 124.0 2082.7
6 124.0 1849.1
8 124.0 2149.1
10 124.0 2023.1
12 124.0 2319.0
14 124.0 2240.1
16 124.0 2433.8
18 124.0 2297.7
20 124.0 2317.6
22 124.0 2303.7
24 124.0 2410.6
26 124.0 2419.9
28 124.0 2010.0
30 124.0 2159.6
32 124.0 1990.3
34 124.0 2249.6
36 124.0 2750.6
38 124.0 2011.2
40 124.0 2085.0
42 124.0 2484.5
44 124.0 2140.0
46 124.0 2283.6
48 124.0 2214.2
50 124.0 2230.9
52 124.0 2359.0
54 124.0 2175.7
56 124.0 2242.9
58 124.0 2169.7
60 124.0 2104.4
62 124.0 2123.3
64 124.0 2024.4
66 124.0 1807.1
68 124.0 1741.7
70 124.0 1683.7
0 120.0 2732.5
2 120.0 2417.2
4 120.0 2018.5
6 120.0 2217.3
8 120.0 1833.5
10 120.0 2238.8
12 120.0 2254.3
14 120.0 2405.3
16 120.0 2382.5
18 120.0 2478.2
20 120.0 2358.9
22 120.0 2467.9
24 120.0 2701.5
26 120.0 1982.7
28 120.0 2301.2
30 120.0 2326.8
32 120.0 2227.7
34 120.0 2631.3
36 120.0 2508.2
38 120.0 2265.1
40 120.0 2519.5
42 120.0 2301.4
44 120.0 2273.2
46 120.0 2247.0
48 120.0 2401.9
50 120.0 2252.6
52 120.0 2562.3
54 120.0 2302.9
56 120.0 2340.8
58 120.0 2169.5
60 120.0 2218.6
62 120.0 2166.1
64 120.0 1988.7
66 120.0 2098.8
68 120.0 2021.2
70 120.0 1815.2
0 116.0 2695.4
2 116.0 2397.1
4 116.0 2319.3
6 116.0 2279.0
8 116.0 2036.7
10 116.0 2328.8
12 116.0 2135.2
14 116.0 2374.4
16 116.0 2327.1
18 116.0 2154.5
20 116.0 2152.3
22 116.0 2439.3
24 116.0 2398.2
26 116.0 2371.5
28 116.0 2369.3
30 116.0 2243.6
32 116.0 2403.5
34 116.0 2470.4
36 116.0 2274.6
38 116.0 2085.1
40 116.0 2393.2
42 116.0 2200.3
44 116.0 2201.8
46 116.0 2415.6
48 116.0 2336.4
50 116.0 2207.2
52 116.0 2165.1
54 116.0 2122.6
56 116.0 2071.0
58 116.0 2260.6
60 116.0 2155.3
62 116.0 2269.7
64 116.0 2055.0
66 116.0 2031.2
68 116.0 2001.2
70 116.0 1657.7
0 112.0 2773.8
2 112.0 2260.4
4 112.0 2480.2
6 112.0 2222.9
8 112.0 2159.8
10 112.0 2254.6
12 112.0 1962.8
14 112.0 2390.9
16 112.0 2299.2
18 112.0 2310.2
